location,landing,boat,trip,anglers,species,count,released,date,source
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,41 Anglers,Sand Bass,1,False,2025-04-01,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,41 Anglers,Sculpin,7,False,2025-04-01,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,41 Anglers,Rockfish,101,False,2025-04-01,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,41 Anglers,Red Rockfish,50,False,2025-04-01,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,45 Anglers,Halibut,7,False,2025-04-02,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,45 Anglers,Halibut,5,True,2025-04-02,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,16 Anglers,Rockfish,71,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,14 Anglers,Sculpin,7,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,14 Anglers,Rockfish,55,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,32 Anglers,Sand Bass,3,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,32 Anglers,Sculpin,17,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,32 Anglers,Whitefish,10,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,32 Anglers,Rockfish,70,False,2025-04-03,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,9 Anglers,Whitefish,10,False,2025-04-03,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,9 Anglers,Rockfish,70,False,2025-04-03,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,9 Anglers,Sanddab,20,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,12 Anglers,Barred Sand Bass,3,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,12 Anglers,Sculpin,1,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,12 Anglers,Whitefish,51,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,12 Anglers,Rockfish,35,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,35 Anglers,Rockfish,87,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,35 Anglers,Vermilion Rockfish,47,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Patriot (SD),1/2 Day AM,10 Anglers,Rockfish,63,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,23 Anglers,Rockfish,165,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,30 Anglers,Sand Bass,5,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,30 Anglers,Sculpin,13,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,30 Anglers,Lingcod,2,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,30 Anglers,Rockfish,25,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,30 Anglers,Red Rockfish,70,False,2025-04-04,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,24 Anglers,Sculpin,15,False,2025-04-04,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,24 Anglers,Whitefish,5,False,2025-04-04,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,24 Anglers,Rockfish,130,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,24 Anglers,Rockfish,131,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,27 Anglers,Rockfish,125,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,24 Anglers,Sculpin,2,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,24 Anglers,Whitefish,40,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,24 Anglers,Rockfish,45,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,24 Anglers,Vermilion Rockfish,10,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Outer Limits,Full Day,20 Anglers,Lingcod,1,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Outer Limits,Full Day,20 Anglers,Rockfish,53,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Pacific Voyager,1.5 Day,13 Anglers,Lingcod,65,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Pacific Voyager,1.5 Day,13 Anglers,Rockfish,25,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Pacific Voyager,1.5 Day,13 Anglers,Vermilion Rockfish,40,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,San Diego,Full Day,21 Anglers,Sculpin,11,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,San Diego,Full Day,21 Anglers,Sheephead,1,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,San Diego,Full Day,21 Anglers,Lingcod,1,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,San Diego,Full Day,21 Anglers,Whitefish,105,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,San Diego,Full Day,21 Anglers,Rockfish,6,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Sea Watch,Full Day,18 Anglers,Sculpin,11,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Sea Watch,Full Day,18 Anglers,Calico Bass,1,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Sea Watch,Full Day,18 Anglers,Rockfish,98,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Sea Watch,Full Day,18 Anglers,Vermilion Rockfish,12,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,33 Anglers,Sculpin,11,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,33 Anglers,Sheephead,1,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,33 Anglers,Lingcod,2,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,33 Anglers,Whitefish,21,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,33 Anglers,Rockfish,26,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,33 Anglers,Vermilion Rockfish,52,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,55 Anglers,Rockfish,47,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,55 Anglers,Vermilion Rockfish,31,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Horizon,Full Day,10 Anglers,Bocaccio,14,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Horizon,Full Day,10 Anglers,Sheephead,1,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Horizon,Full Day,10 Anglers,Lingcod,2,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Horizon,Full Day,10 Anglers,Rockfish,76,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Horizon,Full Day,10 Anglers,Red Rockfish,27,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,47 Anglers,Rockfish,187,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,47 Anglers,Sand Bass,1,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,47 Anglers,Sculpin,23,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,47 Anglers,Rockfish,27,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,47 Anglers,Red Rockfish,61,False,2025-04-05,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,38 Anglers,Sculpin,55,False,2025-04-05,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,38 Anglers,Whitefish,2,False,2025-04-05,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,38 Anglers,Rockfish,112,False,2025-04-05,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,38 Anglers,Sanddab,40,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Mission Belle,Full Day,25 Anglers,Sculpin,3,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Mission Belle,Full Day,25 Anglers,Sheephead,2,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Mission Belle,Full Day,25 Anglers,Lingcod,1,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Mission Belle,Full Day,25 Anglers,Whitefish,19,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Mission Belle,Full Day,25 Anglers,Rockfish,120,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,23 Anglers,Barred Sand Bass,3,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,23 Anglers,Sculpin,7,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,23 Anglers,Whitefish,14,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,23 Anglers,Rockfish,11,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,23 Anglers,Red Rockfish,14,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,51 Anglers,Rockfish,126,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,24 Anglers,Sculpin,4,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,24 Anglers,Sheephead,1,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,24 Anglers,Whitefish,23,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,24 Anglers,Rockfish,18,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,24 Anglers,Vermilion Rockfish,4,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Pacific Voyager,Overnight,15 Anglers,Lingcod,75,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Pacific Voyager,Overnight,15 Anglers,Rockfish,50,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,San Diego,Full Day,21 Anglers,Sculpin,9,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,San Diego,Full Day,21 Anglers,Whitefish,120,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,San Diego,Full Day,21 Anglers,Rockfish,24,False,2025-04-05,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,57 Anglers,Rockfish,137,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,57 Anglers,Vermilion Rockfish,28,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day Twilight,56 Anglers,Sculpin,8,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day Twilight,56 Anglers,Sheephead,4,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day Twilight,56 Anglers,Whitefish,3,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day Twilight,56 Anglers,Rockfish,118,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day Twilight,56 Anglers,Vermilion Rockfish,43,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Horizon,Full Day,14 Anglers,Bocaccio,12,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Horizon,Full Day,14 Anglers,Whitefish,30,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Horizon,Full Day,14 Anglers,Rockfish,39,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Horizon,Full Day,14 Anglers,Red Rockfish,25,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,54 Anglers,Rockfish,62,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,54 Anglers,Sanddab,48,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,16 Anglers,Sculpin,3,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,16 Anglers,Sheephead,1,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,16 Anglers,Whitefish,8,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day PM,16 Anglers,Rockfish,60,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Helgrens Sportfishing Fish Counts,Electra,3/4 Day,19 Anglers,Bocaccio,9,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Helgrens Sportfishing Fish Counts,Electra,3/4 Day,19 Anglers,Sculpin,23,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Helgrens Sportfishing Fish Counts,Electra,3/4 Day,19 Anglers,Copper Rockfish,10,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Helgrens Sportfishing Fish Counts,Electra,3/4 Day,19 Anglers,Whitefish,2,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Helgrens Sportfishing Fish Counts,Electra,3/4 Day,19 Anglers,Rockfish,38,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Helgrens Sportfishing Fish Counts,Electra,3/4 Day,19 Anglers,Sanddab,24,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Chuasco II,3/4 Day,21 Anglers,Sculpin,5,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Chuasco II,3/4 Day,21 Anglers,Whitefish,2,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Chuasco II,3/4 Day,21 Anglers,Rockfish,210,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,27 Anglers,Sculpin,35,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,27 Anglers,Whitefish,5,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,27 Anglers,Rockfish,90,False,2025-04-06,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,27 Anglers,Sanddab,30,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,30 Anglers,Sculpin,2,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,30 Anglers,Rockfish,30,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,30 Anglers,Vermilion Rockfish,50,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,36 Anglers,Sculpin,1,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,36 Anglers,Sheephead,1,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,36 Anglers,Whitefish,5,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,36 Anglers,Rockfish,52,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,36 Anglers,Vermilion Rockfish,20,False,2025-04-06,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,23 Anglers,Rockfish,12,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,22 Anglers,Sculpin,25,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,22 Anglers,Sheephead,6,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,22 Anglers,Rockfish,39,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,22 Anglers,Vermilion Rockfish,31,False,2025-04-07,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,18 Anglers,Sculpin,15,False,2025-04-07,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,18 Anglers,Whitefish,1,False,2025-04-07,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,18 Anglers,Rockfish,60,False,2025-04-07,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,18 Anglers,Sanddab,20,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,17 Anglers,Rockfish,16,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,11 Anglers,Sculpin,2,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,11 Anglers,Whitefish,1,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,11 Anglers,Rockfish,51,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Pacific Voyager,1.5 Day,18 Anglers,Rockfish,90,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Pacific Voyager,1.5 Day,18 Anglers,Vermilion Rockfish,36,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Polaris Supreme,3 Day,24 Anglers,Bluefin Tuna,30,False,2025-04-07,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,14 Anglers,Rockfish,7,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,12 Anglers,Sculpin,7,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,12 Anglers,Sheephead,5,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,12 Anglers,Rockfish,49,False,2025-04-08,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,23 Anglers,Sculpin,60,False,2025-04-08,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,23 Anglers,Whitefish,10,False,2025-04-08,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,23 Anglers,Rockfish,65,False,2025-04-08,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,23 Anglers,Sanddab,25,False,2025-04-08,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,23 Anglers,Sculpin,30,True,2025-04-08,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Daily Doule,1/2 Day AM,9 Anglers,Barred Sand Bass,9,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Daily Doule,1/2 Day AM,9 Anglers,Whitefish,9,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Daily Doule,1/2 Day AM,9 Anglers,Rockfish,13,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Daily Doule,1/2 Day AM,9 Anglers,Red Rockfish,18,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,20 Anglers,Sculpin,4,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,20 Anglers,Whitefish,1,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,20 Anglers,Rockfish,50,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,20 Anglers,Vermilion Rockfish,12,False,2025-04-08,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,3/4 Day,44 Anglers,Halibut,5,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,3/4 Day,44 Anglers,Halibut,15,True,2025-04-09,San Diego Fish Reports
"San Diego, CA",Limitless Sportfishing Fish Counts,Limitless,Overnight,4 Anglers,California Halibut,1,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Limitless Sportfishing Fish Counts,Limitless,Overnight,4 Anglers,Ocean Whitefish,14,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Limitless Sportfishing Fish Counts,Limitless,Overnight,4 Anglers,Vermillion Rockfish,20,False,2025-04-09,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,22 Anglers,Sculpin,37,False,2025-04-09,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,22 Anglers,Rockfish,138,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day AM,26 Anglers,Rockfish,159,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,16 Anglers,Whitefish,2,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,16 Anglers,Rockfish,29,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,New Seaforth,1/2 Day PM,16 Anglers,Vermilion Rockfish,32,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Sea Watch,1/2 Day PM,9 Anglers,Sculpin,1,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Sea Watch,1/2 Day PM,9 Anglers,Whitefish,1,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Seaforth Sportfishing Fish Counts,Sea Watch,1/2 Day PM,9 Anglers,Rockfish,10,False,2025-04-09,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,16 Anglers,Rockfish,88,False,2025-04-10,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,16 Anglers,Vermilion Rockfish,20,False,2025-04-10,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,17 Anglers,Sculpin,6,False,2025-04-10,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,17 Anglers,Rockfish,48,False,2025-04-10,San Diego Fish Reports
